route_id,mail_ratio,capacity_ratio,freight_ratio,mail_per_flight,freight_per_flight,pass_per_flight
1013510693,0.0,0.7688559322033899,0.0,0.0,0.0,136.0875
1013511697,0.0,0.7903225806451613,0.0,0.0,0.0,147.0
1013514082,0.0,0.9031746031746031,0.0,0.0,0.0,151.57142857142856
1013514112,0.0,0.9276353276353276,0.0,0.0,0.0,165.1076923076923
1013611298,0.0,0.853125,0.0,0.0,0.0,123.0
1014010136,0.0,0.9857142857142858,0.0,0.0,0.0,138.0
1014010279,0.0,0.8811188811188811,0.003988439306358381,0.0,138.0,126.0
1014010397,0.0,0.8901873747030995,0.0004725805114113491,0.0,20.90706158441189,148.79657943393542
1014010423,0.0,0.8162091798763486,0.00010800691244239632,0.0,4.6875,134.36458333333334
1014010821,0.0,0.8663802863802864,0.0019572162583723278,0.0,68.06888888888888,142.08666666666667
1014011259,0.0,0.6846320148498366,0.0022251851287257065,0.0,87.97788778877887,113.99075907590759
1014011292,0.0,0.8039528719374588,0.001889470508724438,0.0,74.80663650075415,130.8283308195073
1014011298,0.0,0.7646336242241509,0.00034021423385512014,0.0,13.371026139173438,113.70906923348639
1014011540,0.0,1.0,0.013439306358381503,0.0,465.0,143.0
1014012191,0.0,0.8452429912567108,0.0037760879267258584,0.0,154.145393800813,133.3111763211382
1014012266,0.011196485805860806,0.7506332057494455,0.00027901785714285713,521.6666666666666,13.0,128.66666666666666
1014012478,0.0,0.8952122554448136,0.0,0.0,0.0,134.43253968253967
1014012889,0.0,0.6553238175683737,0.0005718467845296136,0.0,19.53174603174603,101.4973544973545
1014012892,0.0,0.9137302497194478,0.001774800971166244,0.0,59.245735607675904,141.1993603411514
1014013198,0.0,0.8386458949254648,0.008991665984285165,0.0,353.54697331740346,129.5294105933891
1014013204,0.0,0.8648018648018648,0.0,0.0,0.0,123.66666666666667
1014013232,0.0,0.9248030255873393,0.006549242738372689,0.0,257.9059549745824,152.54284676833694
1014013487,0.0,0.940142236270249,0.00014110993634221017,0.0,7.321428571428571,169.96428571428572
1014013796,0.0,0.6057142857142856,0.0,0.0,0.0,106.0
1014013851,0.0,0.1048951048951049,0.0,0.0,0.0,15.0
1014013930,0.0,0.8988716290362997,0.0,0.0,0.0,129.80642633228842
1014014107,0.0,0.7532034548113177,0.0016469920138659153,0.0,64.17426915322581,120.85168850806451
1014014122,0.0,0.965034965034965,0.0,0.0,0.0,138.0
1014014679,0.0,0.7809180225072279,0.0002924043758467587,0.0,10.11719140429785,121.85032483758123
1014014831,0.0,0.7409638554216867,0.0,0.0,0.0,123.0
1014014869,0.0,0.93125,0.0016975745260937782,0.0,66.0,149.0
1014015016,0.0,0.7707419698945123,0.0,0.0,0.0,101.0
1014015376,0.0,0.972027972027972,0.0015028901734104045,0.0,52.0,139.0
1015410721,0.0,0.7300102040816325,0.0,0.0,0.0,73.00102040816326
1015511027,0.0,0.9106145251396648,0.09324232974988551,0.0,4276.0,163.0
1015512896,0.0,0.9162011173184358,0.07741535920726672,0.0,3000.0,164.0
1015513198,0.0,0.9257142857142857,0.0,0.0,0.0,162.0
1015515074,0.0,0.8268156424581006,0.09846673231115488,0.0,4200.0,148.0
1015810397,0.0,0.8508324625566005,0.0,0.0,0.0,123.37070707070707
1015811433,0.0,0.4863636363636364,0.0,0.0,0.0,107.0
1015811618,0.0,0.9210526315789473,0.0,0.0,0.0,210.0
1015811697,0.0,0.8820388057888217,0.0,0.0,0.0,168.74082346690952
1015813204,0.0,0.7943571103600703,0.0,0.0,0.0,159.26632183908046
1015813577,0.0,0.8812975715839072,0.0,0.0,0.0,156.8709677419355
1015813930,0.0,0.7339265850945494,0.0,0.0,0.0,106.41935483870968
1015814100,0.0,0.4068965517241379,0.0,0.0,0.0,59.0
1015814635,0.0,0.9073080175834798,0.0,0.0,0.0,163.2956989247312
1016510299,0.005749835508548645,0.3263888888888889,0.16186449832562433,195.16666666666666,5494.166666666667,23.5
1017010299,0.001644723674169364,0.635752688172043,0.13151672985022908,59.444444444444436,4929.027777777777,52.555555555555564
1017014747,0.0008771929824561404,,0.11122807017543859,35.0,4438.0,0.0
1019412544,0.0,0.8391608391608392,0.0,0.0,0.0,120.0
1020512478,0.0,0.9184451219512195,0.0,0.0,0.0,150.625
1020810397,0.0,0.9324299586419963,4.080344568371104e-05,0.0,1.3307533539731682,124.09829721362229
1020812953,0.0,0.9095477386934674,0.0,0.0,0.0,181.0
1021614696,0.0,0.5151515151515151,0.0,0.0,0.0,56.666666666666664
1024412173,0.0,0.6280696596568899,0.12054176089945337,0.0,12862.76923076923,174.6033653846154
1024510299,0.0,0.4786753144654088,0.03698541561000501,0.0,1337.2,70.25
1025710397,0.0,0.787625873174272,0.0007523495506458694,0.0,24.72972972972973,117.32432432432432
1025710721,0.0,0.48951048951048953,0.05346820809248555,0.0,1850.0,70.0
1025710821,0.0,0.8236684414875904,0.0005076462748906357,0.0,16.932484802431613,117.50333713272543
1025711057,0.0,0.8265266350684112,0.00015306328772662938,0.0,5.5390243902439025,120.47052939192986
1025711193,0.0,0.5865921787709497,0.0,0.0,0.0,105.0
1025711259,0.0,0.7762237762237763,0.0,0.0,0.0,111.0
1025711292,0.0,0.8856143856143857,0.0012840627580511974,0.0,44.42857142857142,126.64285714285715
1025711433,0.0,0.5971650317478423,6.996501749125437e-06,0.0,0.20919540229885056,65.67528735632183
1025711697,0.0,0.937969437969438,5.352172982230786e-07,0.0,0.018518518518518517,134.12962962962962
1025712953,0.0,0.9230769230769231,0.0011560693641618498,0.0,40.0,132.0
